track_id,mfcc_01_mean,mfcc_02_mean,mfcc_03_mean,mfcc_04_mean,mfcc_05_mean,mfcc_06_mean,mfcc_07_mean,mfcc_08_mean,mfcc_09_mean,mfcc_10_mean,rmse_01_mean,spectral_centroid_01_mean,spectral_bandwidth_01_mean,chroma_var
2,-163.77296,116.69668,-41.75383,29.14433,-15.05016,18.87937,-8.91817,12.00212,-4.25315,1.35979,3.18876,1639.58325,1607.47437,0.02516
3,-159.00417,120.1585,-33.23356,47.342,-6.24732,31.40536,-5.26181,11.61897,-1.59584,5.13273,3.60736,1763.01245,1736.96143,0.02258
5,-205.44049,132.21507,-16.08582,41.51476,-7.64295,16.9428,-5.65126,9.56944,0.50316,8.67351,3.25139,1292.95813,1512.91736,0.01855
10,-135.86482,157.04008,-53.45325,17.1989,6.86803,13.93434,-11.7493,8.36071,-5.13038,0.23385,3.89381,1360.02869,1420.25964,0.02731
20,-135.13589,114.81418,12.35454,19.76422,18.6708,19.64386,3.57251,12.1249,-2.28518,8.83521,4.60044,1732.9718,2489.01562,0.01719
26,-233.12372,164.76591,17.93129,48.44862,13.60912,18.96718,7.89998,8.17596,-0.48186,3.27121,4.92703,614.54926,1103.50806,0.01382
30,-183.21886,103.34963,30.20835,30.087,-0.28,14.10926,-0.32439,10.96279,-0.21423,3.81958,4.47854,1910.71948,2369.65723,0.01225
46,-221.09674,155.25275,-6.7477,27.92758,2.62996,24.33935,-5.29455,2.35649,-6.08196,-2.35366,3.63772,961.3598,1398.82764,0.02187
48,-219.44464,127.46236,25.92059,54.94447,-0.16587,29.9437,11.25708,-2.21215,10.77365,1.61375,4.50437,1194.17444,1773.88135,0.01736
134,-207.66148,125.52131,-33.41659,32.26093,8.07477,15.34955,-4.07418,10.28172,5.24588,7.00942,3.31069,1257.69629,1314.96863,0.01705
135,-90.87971,159.763,-42.89362,35.77662,-18.25299,20.43315,-7.93695,12.99275,-8.98556,2.85809,6.29388,1213.33325,1440.00928,0.02055
136,-84.80316,143.72821,-6.74429,25.49211,5.06927,16.98234,-2.47185,5.3464,-0.36718,4.10448,7.35604,1256.05664,1910.76123,0.02062
137,-123.91856,155.73528,-80.91521,27.56966,10.93238,19.22028,-18.27621,-18.28821,-8.98254,-2.38728,3.72965,1416.17114,1252.52502,0.02827
138,-79.16461,85.14415,-31.93963,30.36805,3.42292,12.78952,-15.26502,-13.45063,-11.01207,4.63203,3.45272,2526.15356,2223.78125,0.02542
139,-127.50726,152.88588,-58.56507,49.59719,-6.60431,22.50658,-7.13333,9.70621,1.42622,-3.32575,3.96501,1278.88647,1341.50488,0.02094
140,-225.71332,139.33282,-13.0977,44.53336,2.4684,28.32874,-9.93148,10.81086,3.00288,-0.93769,2.95385,1232.63379,1475.62537,0.01444
141,-253.14391,155.71632,-16.63663,23.68382,6.04596,11.69295,-9.94776,6.88781,-3.27332,-6.34091,2.57676,941.24414,1192.83557,0.01358
142,-153.23366,135.14986,-49.44463,42.0564,-1.97419,14.29025,-0.83064,10.49627,-3.18915,-0.19575,4.4783,1311.10852,1354.57251,0.02786
144,-126.92815,126.31162,-31.84387,45.56131,-0.38294,10.51438,-11.23682,7.03077,-7.81032,3.5784,3.82307,1580.70703,1726.67261,0.02424
145,-135.8911,128.42012,-33.42768,43.98761,-4.12405,17.41679,-9.80955,8.77558,-10.71915,3.6825,3.52434,1510.40234,1723.88452,0.02477
146,-201.59436,134.9939,-56.28177,47.43162,-2.78189,16.19115,1.56373,0.34266,-1.3799,-1.56069,2.62859,1394.03699,1410.68933,0.01343
147,-157.54739,132.3219,-65.29998,52.29626,-9.91004,18.71585,-2.21718,-0.75983,-2.52674,-0.92753,2.67941,1612.54749,1485.25037,0.01821
148,-93.17943,154.95912,-47.91808,19.72303,0.24254,28.14526,-1.92667,1.57142,7.44489,9.51694,10.81044,1192.5127,1314.25867,0.01223
149,-381.24881,118.33543,33.83377,39.67061,3.22152,3.43196,10.3191,9.25867,4.71457,-5.78308,0.76436,1319.29321,2077.68848,0.02804
150,-221.76144,152.96071,43.87208,30.96425,3.75408,-2.32196,-2.40617,-1.39169,2.00611,1.86547,3.53354,1076.65979,1923.18921,0.02542
151,-111.72675,170.65782,-55.02563,28.12047,3.98733,15.24974,-8.60049,13.34324,-0.65624,7.51519,5.48997,1105.43628,1255.14758,0.02707
