track_id,genres_all,title,artist
2,[21],Food,AWOL
3,[21],Electric Ave,AWOL
5,[21],This World,AWOL
10,[10],Freeway,Kurt Vile
20,"[17, 10, 76, 103]",Spiritual Level,Nicky Cook
26,"[17, 10, 76, 103]",Where is your Love?,Nicky Cook
30,"[17, 10, 76, 103]",Too Happy,Nicky Cook
46,"[17, 10, 76, 103]",Yosemite,Nicky Cook
48,"[17, 10, 76, 103]",Light of Light,Nicky Cook
134,[21],Street Music,AWOL
135,"[58, 12, 45]",Father's Day,Abominog
136,"[58, 12, 45]",Peel Back The Mountain Sky,Abominog
137,"[32, 1, 38]",Side A,Airway
138,"[32, 1, 38]",Side B,Airway
139,[17],CandyAss,Alec K. Redfearn & the Eyesores
140,[17],Queen Of The Wires,Alec K. Redfearn & the Eyesores
141,[17],Ohio,Alec K. Redfearn & the Eyesores
142,[17],Punjabi Watery Grave,Alec K. Redfearn & the Eyesores
144,[4],Wire Up,Amoebic Ensemble
145,[4],Amoebiasis,Amoebic Ensemble
146,[4],Gimme a Buck or I'll Touch You / Boilermaker,Amoebic Ensemble
147,[4],Repetitive Motion Sickness,Amoebic Ensemble
148,"[1, 38]",Blackout 2,Contradiction
149,"[1, 38]",Outside the window bees buzzed...,Andy Hayleck
150,"[1, 38]",... listening to the sunshine burn the grass,Andy Hayleck
151,"[25, 12]",Untitled 04,Animal Writes
152,"[25, 12]",Untitled 11,Animal Writes
153,"[26, 12]",Hundred-Year Flood,Arc and Sender
154,"[26, 12]",Squares And Circles,Arc and Sender
155,"[26, 12]",Maps of the Stars Homes,Arc and Sender
156,"[38, 30]",Track 01,Area C
157,"[38, 30]",Track 02,Area C
158,"[38, 30]",Track 03,Area C
159,"[38, 30]",Track 04,Area C
160,"[38, 30]",Track 05,Area C
161,"[38, 30]",Track 06,Area C
162,"[38, 30]",Track 07,Area C
163,"[38, 30]",Track 08,Area C
164,"[38, 30]",Track 09,Area C
165,"[38, 30]",Track 10,Area C
166,"[38, 30]",Track 11,Area C
167,"[38, 30]",Track 12,Area C
168,"[38, 30]",Track 13,Area C
169,"[25, 12]",Boss of Goth,Argumentix
170,"[25, 12]",Industry Standard Massacre,Argumentix
171,"[25, 12]",Marching as Technitions,Argumentix
172,"[25, 12]",I Can't Stand You Up-right,Argumentix
173,"[25, 12]",Save Life's Golden Receipt In Case Refund Needed,Argumentix
174,"[25, 12]",Senator's Stance,Argumentix
175,"[25, 12]",Snapped Today,Argumentix
176,"[25, 12]",Step Up to Legends,Argumentix
177,"[25, 12]",Petty Hate Machine,Argumentix
178,"[25, 12]",Lend Me a Blanket,Argumentix
179,"[25, 12]",Ready to Die,Argumentix
181,"[27, 12]",Gopacapulco,Ariel Pink's Haunted Graffiti
182,"[27, 12]",Jules Lost His Jewels,Ariel Pink's Haunted Graffiti
183,"[27, 12]",For Kate I Wait,Ariel Pink's Haunted Graffiti
184,"[27, 12]",Helen,Ariel Pink's Haunted Graffiti
185,"[10, 27, 12, 76]",Want Me,Ariel Pink's Haunted Graffiti
188,[17],Piano 1,Ed Askew
189,[17],The Thought Of It,Ed Askew
190,[17],Castle Of Stars,Ed Askew
191,[17],Song About Michael,Ed Askew
192,[17],Ed Talk WNYC,Ed Askew
193,[17],Here With You,Ed Askew
194,[17],All I want to Do,Ed Askew
195,[17],I Remember You,Ed Askew
196,[17],Bright Mr Brother,Ed Askew
197,[17],Piano 2,Ed Askew
198,[17],It Breaks My Heart,Ed Askew
199,[17],Rimbaud,Ed Askew
200,[17],Baby Come Home,Ed Askew
201,[17],Big City,Ed Askew
202,[17],Palomino,Ed Askew
203,[17],Song For R,Ed Askew
204,[17],My Dream,Ed Askew
205,[17],What Crow Saw,Ed Askew
206,[17],Bella Crane,Ed Askew
207,[17],Piano 3,Ed Askew
208,[17],Safe Harbor,Ed Askew
209,[17],Safe Harbor,Ed Askew
210,[17],In the French Court,Ed Askew
211,[17],In America,Ed Askew
212,[17],When I Arive,Ed Askew
213,[10],Boute,Au
226,"[25, 12]",W.T.M.,Bad News Bats
228,"[25, 12]",Don't Run With Pizzas,Bad News Bats
236,"[2, 92, 15]","Push Am (Left, Right)",Banana Clipz
237,[4],Garbage and (Garbage and Fire),Barnacled
238,[4],France Attacks,Barnacled
246,"[10, 12, 76]",Referents,Bird Names
247,[12],A New Map for Kissing,Bird Names
248,"[10, 12, 76]",Ghosts,Bird Names
249,[12],The Indefinite Time Yet to Come,Bird Names
250,"[10, 12, 76]",Smoovebiz,Bird Names
251,"[10, 12, 76]",Nobody Loves Me,Bird Names
252,[12],It's Becoming a Stranger,Bird Names
253,"[10, 12, 76]",New Life,Bird Names
254,"[10, 12, 76]",Masters Of Enjoyment,Bird Names
255,[12],We Want to be Old,Bird Names
256,"[12, 31]",Toggle,Black Elk
257,"[12, 31]",My Lil',Black Elk
258,"[12, 31]",Eyebone,Black Elk
273,"[32, 38]",Dildoughnuts,Black Pus
274,"[32, 38]",Land of the Lost,Black Pus
275,"[32, 38]",Swampus,Black Pus
276,"[32, 38]",The Devilhellipers,Black Pus
277,"[32, 38]",Kind Companion,Black Pus
281,"[32, 38]",Juggernaut,Black Pus
282,"[32, 38]",New Atlantis A,Black Pus
284,"[32, 38]",Translucent Human,Black Pus
285,"[32, 38]",Earth aint Enuff,Black Pus
293,"[32, 38]",Berserk is the Best,Black Pus
294,"[32, 38]",Magic Bullet,Black Pus
297,"[32, 38]",Body on the Tide,Black Pus
300,"[32, 38]",The Foot Is Stronger Than The Arm,Black Pus
303,"[89, 12, 25]",Splish spladdy,Blah Blah Blah
304,"[89, 12, 25]",Woo You,Blah Blah Blah
305,"[89, 12, 25]",Disney on Ice,Blah Blah Blah
306,"[89, 12, 25]",The Prime Four,Blah Blah Blah
307,"[89, 12, 25]",Out on the farm,Blah Blah Blah
308,"[89, 12, 25]",The Hotel,Blah Blah Blah
309,"[89, 12, 25]",Where are all the people,Blah Blah Blah
310,"[89, 12, 25]",Going Down to Soho,Blah Blah Blah
311,"[89, 12, 25]",Tropical Holiday Time,Blah Blah Blah
312,"[89, 12, 25]",Tropical Sheep,Blah Blah Blah
313,"[89, 12, 25]",Think Things Of You,Blah Blah Blah
314,"[89, 12, 25]",Daisey Chains,Blah Blah Blah
315,"[89, 12, 25]",Interference,Blah Blah Blah
316,"[89, 12, 25]",Itching in my pants,Blah Blah Blah
317,"[89, 12, 25]",Very Nice,Blah Blah Blah
318,"[89, 12, 25]",1-2-3-4,Blah Blah Blah
319,"[89, 12, 25]",Complete Shakespeare,Blah Blah Blah
320,"[89, 12, 25]",The Natives are Restless,Blah Blah Blah
321,"[89, 12, 25]",Heart Attack,Blah Blah Blah
322,"[89, 12, 25]",Shopping Bag,Blah Blah Blah
323,"[89, 12, 25]",Crocodile Song,Blah Blah Blah
324,"[89, 12, 25]",I just don't know,Blah Blah Blah
325,"[89, 12, 25]",Liquidizing Chickens,Blah Blah Blah
326,"[89, 12, 25]",Burn,Blah Blah Blah
327,"[89, 12, 25]",Hands Beckoning,Blah Blah Blah
328,"[89, 12, 25]",Central Park,Blah Blah Blah
330,"[89, 12, 25]",White Man,Blah Blah Blah
331,"[89, 12, 25]",Weatherman,Blah Blah Blah
332,"[89, 12, 25]",39th floor Club,Blah Blah Blah
333,"[89, 12, 25]",Blah intro,Blah Blah Blah
334,"[89, 12, 25]",Blahpunk,Blah Blah Blah
335,"[89, 12, 25]",Bored,Blah Blah Blah
336,"[89, 12, 25]",Breeder,Blah Blah Blah
337,"[89, 12, 25]",Brian's Garage,Blah Blah Blah
338,"[89, 12, 25]",Cabages in the sunset,Blah Blah Blah
339,"[89, 12, 25]",Chimpanzees disease,Blah Blah Blah
340,"[89, 12, 25]",Circles in London,Blah Blah Blah
341,"[89, 12, 25]",Count Dracula's castle,Blah Blah Blah
342,"[89, 12, 25]",Crash,Blah Blah Blah
343,"[89, 12, 25]",Cybernetics,Blah Blah Blah
344,"[89, 12, 25]",Denver,Blah Blah Blah
345,"[89, 12, 25]",Ding dang (skat),Blah Blah Blah
346,"[89, 12, 25]",Disco Ghoul,Blah Blah Blah
347,"[89, 12, 25]",Down in the pits again,Blah Blah Blah
348,"[89, 12, 25]",Excretia,Blah Blah Blah
349,"[89, 12, 25]",Garden of Eden,Blah Blah Blah
350,"[89, 12, 25]",Gotta Go,Blah Blah Blah
351,"[89, 12, 25]",Hippopotamus,Blah Blah Blah
352,"[89, 12, 25]",In Arabia,Blah Blah Blah
353,"[89, 12, 25]",In my Grandfather's Clock,Blah Blah Blah
354,"[89, 12, 25]",Julie Andrews,Blah Blah Blah
355,"[89, 12, 25]",Just you wait and see,Blah Blah Blah
356,"[89, 12, 25]",Little White Boxes,Blah Blah Blah
357,"[89, 12, 25]",Mr Mystery,Blah Blah Blah
358,"[89, 12, 25]",My House,Blah Blah Blah
359,"[89, 12, 25]",My Room,Blah Blah Blah
360,"[89, 12, 25]",Radio Jazz with Mr Rhodes,Blah Blah Blah
361,"[89, 12, 25]",Red coated young girlfriend,Blah Blah Blah
362,"[89, 12, 25]",Starsigns,Blah Blah Blah
363,"[89, 12, 25]",Sugar Bowl,Blah Blah Blah
364,"[89, 12, 25]",Sunspot activity,Blah Blah Blah
365,"[89, 12, 25]",The Sound of Music,Blah Blah Blah
366,"[89, 12, 25]",The Swamp,Blah Blah Blah
367,"[89, 12, 25]",There goes my greenhouse,Blah Blah Blah
368,"[89, 12, 25]",Vampires,Blah Blah Blah
369,"[89, 12, 25]",Whistle while you work,Blah Blah Blah
370,"[89, 12, 25]",Why didn't Nero?,Blah Blah Blah
